기관ID,기관이름,상품이름,숙박일자,상태
222,용화산 자연휴양림,야영데크(201),20201017,체크아웃
181,방장산 자연휴양림,개나리,20201108,체크아웃
101,유명산 자연휴양림,[연]계수나무,20201022,체크아웃
101,유명산 자연휴양림,[연]계수나무,20201023,체크아웃
110,복주산 자연휴양림,제비꽃,20201018,체크아웃
110,복주산 자연휴양림,제비꽃,20201019,체크아웃
192,남해편백 자연휴양림,야영데크(116),20201106,체크아웃
192,남해편백 자연휴양림,야영데크(116),20201107,체크아웃
243,두타산 자연휴양림,야영데크(108),20201017,체크아웃
190,지리산 자연휴양림,연하봉2,20201021,체크아웃
190,지리산 자연휴양림,연하봉2,20201022,체크아웃
103,산음 자연휴양림,종달새,20201108,체크아웃
103,산음 자연휴양림,종달새,20201109,체크아웃
113,가리왕산 자연휴양림,꾀꼬리,20201031,체크아웃
107,삼봉 자연휴양림,응복산,20201021,체크아웃
107,삼봉 자연휴양림,응복산,20201022,체크아웃
107,삼봉 자연휴양림,응복산,20201023,체크아웃
101,유명산 자연휴양림,반달곰,20201021,체크아웃
108,중미산 자연휴양림,야영데크(216),20201014,체크아웃
141,덕유산 자연휴양림,단풍나무,20201015,체크아웃
187,희리산 자연휴양림,멧돼지(3동1층),20201016,체크아웃
300,상당산성 자연휴양림,7동 상수리나무,20201028,체크아웃
300,상당산성 자연휴양림,7동 상수리나무,20201029,체크아웃
184,검마산 자연휴양림,일반_야영데크(113),20201031,체크아웃
111,대관령 자연휴양림,소쩍새,20201018,체크아웃
111,대관령 자연휴양림,야영데크(122),20201030,체크아웃
111,대관령 자연휴양림,야영데크(122),20201031,체크아웃
115,속리산 자연휴양림,208호 소나무,20201104,체크아웃
184,검마산 자연휴양림,일반_야영데크(112),20201017,체크아웃
188,회문산 자연휴양림,단풍나무,20201109,체크아웃
195,운문산 자연휴양림,가지산장,20201015,체크아웃
103,산음 자연휴양림,종달새,20201024,체크아웃
245,대야산 자연휴양림,308호 산돌배,20201029,체크아웃
190,지리산 자연휴양림,연하봉1,20201030,체크아웃
104,아세안 자연휴양림,캄보디아(2),20201023,체크아웃
245,대야산 자연휴양림,캐빈6,20201015,체크아웃
183,청옥산 자연휴양림,오토캠핑장(405),20201017,체크아웃
183,청옥산 자연휴양림,오토캠핑장(405),20201018,체크아웃
141,덕유산 자연휴양림,야영데크(110),20201016,체크아웃
192,남해편백 자연휴양림,돌섬,20201023,체크아웃
200,낙안민속 자연휴양림,아리랑,20201104,체크아웃
187,희리산 자연휴양림,해송(1동1층),20201114,체크아웃
187,희리산 자연휴양림,해송(1동1층),20201115,체크아웃
104,아세안 자연휴양림,인도네시아(2),20201025,체크아웃
116,화천숲속 야영장,오토캠핑장29(데크),20201101,체크아웃
103,산음 자연휴양림,야영데크(222),20201021,체크아웃
244,검봉산 자연휴양림,[C동]진달래,20201021,체크아웃
116,화천숲속 야영장,오토캠핑장25(데크),20201025,체크아웃
106,청태산 자연휴양림,전나무,20201101,체크아웃
106,청태산 자연휴양림,전나무,20201102,체크아웃
115,속리산 자연휴양림,303호 댕강나무,20201028,체크아웃
194,운장산 자연휴양림,야영데크(116),20201024,체크아웃
108,중미산 자연휴양림,야영데크(103),20201019,체크아웃
108,중미산 자연휴양림,야영데크(308),20201030,체크아웃
115,속리산 자연휴양림,206호 낙엽송,20201029,체크아웃
115,속리산 자연휴양림,206호 낙엽송,20201030,체크아웃
111,대관령 자연휴양림,너구리(2층),20201016,체크아웃
105,신불산 자연휴양림,하단 야영데크(108),20201025,체크아웃
223,백운산 자연휴양림,[B동]영지버섯,20201121,체크아웃
182,칠보산 자연휴양림,원추리,20201108,체크아웃
300,상당산성 자연휴양림,8동 갈참나무,20201101,체크아웃
188,회문산 자연휴양림,단풍나무,20201105,체크아웃
